# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1608633694
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./vaccine_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,VE,theta
-25.1442,1,0.125,1,1,0,74.9582,0.336559,0.398837
-25.1442,0,14.3855,0,1,1,25.1743,0.336559,0.398837
-25.1442,0,2.43117,0,1,1,25.5076,0.336559,0.398837
-12.1086,1,0.239791,2,5,0,22.8064,0.920268,0.0738439
-10.5393,1,0.324332,2,3,0,11.8924,0.855188,0.126494
-10.5342,1,0.507206,2,3,0,10.5404,0.830055,0.145259
-10.5342,0.0425429,0.863376,1,1,0,10.9634,0.830055,0.145259
-10.511,0.995364,0.0784549,3,11,0,11.1748,0.844806,0.134345
-11.4908,0.954025,0.138337,2,7,0,12.5324,0.906503,0.0855025
-11.0684,0.999393,0.220387,3,7,0,11.5717,0.892922,0.0967214
-10.5109,0.986207,0.411837,2,3,0,11.1097,0.839969,0.137954
-10.679,0.806148,0.744279,1,1,0,10.7682,0.808399,0.160793
-10.679,0.325521,0.764786,1,1,0,10.7416,0.808399,0.160793
-10.5293,0.992197,0.174748,1,3,0,10.8355,0.831402,0.144274
-10.5236,0.97119,0.325332,2,3,0,10.7312,0.851202,0.129525
-10.5987,0.955194,0.565018,1,1,0,10.6128,0.864187,0.119573
-10.5987,0.212928,0.929161,1,1,0,11.1343,0.864187,0.119573
-10.5102,0.999564,0.157411,3,7,0,10.6325,0.841104,0.13711
-11.2229,0.874014,0.297626,1,3,0,11.4668,0.767503,0.188639
-10.6302,1,0.382428,2,3,0,11.0078,0.814021,0.156815
-10.6302,0.453628,0.713124,1,1,0,10.7207,0.814021,0.156815
-10.6341,1,0.261826,3,7,0,10.6419,0.867927,0.116664
-10.7234,0.984258,0.485303,2,3,0,10.7716,0.875243,0.110919
-10.7234,0.0457619,0.850716,1,1,0,12.3225,0.875243,0.110919
-10.5612,0.999981,0.0988483,4,15,0,10.7365,0.859154,0.123457
-10.5107,0.979767,0.18207,3,7,0,11.2406,0.840289,0.137716
-10.6538,0.981831,0.313493,2,3,0,10.6572,0.869751,0.115239
-10.6538,0.461659,0.538021,1,1,0,11.0822,0.869751,0.115239
-10.8174,0.976759,0.214929,2,5,0,11.0956,0.795464,0.169805
-10.546,1,0.361653,2,3,0,10.7922,0.856541,0.125461
-10.9871,0.654815,0.64295,1,1,0,11.0509,0.782623,0.178562
-10.82,1,0.443379,1,1,0,11.0528,0.795243,0.169957
-10.82,0.0424411,0.779529,1,1,0,11.1092,0.795243,0.169957
-10.594,0.997394,0.105138,3,11,0,11.0518,0.863627,0.120008
-10.5943,0.999983,0.184018,1,1,0,10.5996,0.863659,0.119983
-11.0444,0.936577,0.321377,1,3,0,11.0876,0.891967,0.0975
-10.5856,0.963134,0.471506,2,3,0,10.9095,0.820152,0.152433
-10.5856,0.0239303,0.736524,1,1,0,11.6903,0.820152,0.152433
-10.6103,0.988524,0.102377,3,9,0,11.5207,0.865488,0.118564
-12.6259,0.932783,0.171406,2,7,0,12.6519,0.700563,0.230436
-12.6259,0.834506,0.247278,1,1,0,13.4421,0.700563,0.230436
-12.6259,0.159265,0.277173,1,1,0,16.0984,0.700563,0.230436
-10.5383,0.999697,0.0576204,4,15,0,12.8094,0.82902,0.146014
-10.5416,0.999945,0.0980471,2,3,0,10.5429,0.828242,0.146582
-10.5589,0.999225,0.165642,2,3,0,10.5634,0.824659,0.149183
-10.5534,1,0.277237,2,3,0,10.5637,0.825723,0.148412
-11.5348,0.57634,0.461481,1,1,0,11.5876,0.750187,0.199881
-11.481,1,0.275261,3,7,0,11.5503,0.90624,0.0857228
