# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1608633694
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./vaccine_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,VE,theta
-22.82,1,0.125,2,3,0,88.5125,0.394066,0.377309
-22.82,0,14.3855,0,1,1,22.9748,0.394066,0.377309
-22.82,0,2.43117,0,1,1,23.3786,0.394066,0.377309
-17.1829,1,0.239791,1,1,0,21.8404,0.547208,0.31167
-10.9956,1,0.324332,2,3,0,14.8192,0.782033,0.17896
-10.9123,1,0.507206,2,3,0,10.9559,0.886148,0.102215
-10.9123,0.237636,0.863376,1,1,0,12.0477,0.886148,0.102215
-10.7475,0.999084,0.143995,1,3,0,10.976,0.876896,0.10961
-10.6595,0.999562,0.258399,3,7,0,10.738,0.870252,0.114847
-10.6595,1.65427e-05,0.476764,1,1,0,14.7847,0.870252,0.114847
-11.1483,0.999274,0.0378272,4,17,0,11.2711,0.895919,0.094269
-12.7551,0.99213,0.071436,3,9,0,13.0726,0.930802,0.0647195
-12.7501,1,0.132785,1,1,0,12.8045,0.93073,0.0647827
-12.8029,0.996662,0.253378,1,1,0,12.9696,0.931476,0.0641296
-11.4158,1,0.477357,1,1,0,12.5417,0.904434,0.08723
-11.4158,7.79941e-05,0.904266,2,3,0,11.4169,0.904434,0.08723
-11.4414,0.999791,0.0784509,1,1,0,11.4421,0.905154,0.0866298
-12.1059,0.975455,0.149686,1,3,0,12.4563,0.920218,0.0738872
-12.1499,0.996584,0.263183,1,1,0,12.2886,0.921034,0.0731869
-11.647,1,0.489311,2,3,0,11.9699,0.744442,0.203541
-11.647,3.6103e-06,0.910586,1,1,0,12.1284,0.744442,0.203541
-11.5758,1,0.0872633,1,1,0,11.6469,0.748063,0.201238
-11.3442,1,0.163254,1,1,0,11.5605,0.760492,0.193229
-10.5406,0.971245,0.302366,2,3,0,11.5704,0.828466,0.146418
-11.9082,0.377414,0.510296,1,1,0,12.0804,0.73179,0.211487
-10.8015,0.996144,0.156493,2,7,0,12.3084,0.880268,0.106929
-10.5269,0.964023,0.282615,3,7,0,11.2438,0.832104,0.143759
-10.744,0.896762,0.46177,1,1,0,10.7527,0.801914,0.165335
-11.1039,0.684641,0.620503,1,1,0,11.497,0.774841,0.18378
-10.535,1,0.461872,2,3,0,10.8764,0.854243,0.127214
-10.535,0.864701,0.819449,1,1,0,10.613,0.854243,0.127214
-10.535,0.241953,0.99728,1,1,0,10.5421,0.854243,0.127214
-11.1964,0.939004,0.226032,3,7,0,12.0058,0.897608,0.0928817
-11.0511,0.845938,0.337924,2,3,0,12.5319,0.778277,0.181484
-11.7849,0.706478,0.392204,1,1,0,11.9874,0.737651,0.207826
-10.5439,1,0.314698,2,3,0,11.6966,0.856128,0.125776
-11.5138,0.503273,0.54487,1,1,0,11.5545,0.751282,0.199179
-11.5108,0.991688,0.258559,3,7,0,11.8586,0.751441,0.199077
-10.7345,1,0.435103,2,3,0,11.2184,0.802808,0.164712
-11.169,0.517128,0.741897,1,1,0,11.8675,0.770765,0.186486
-10.7586,1,0.369867,1,1,0,11.0644,0.800574,0.166268
-10.7586,0.621123,0.626308,1,1,0,11.1821,0.800574,0.166268
-10.563,0.812216,0.409246,2,3,0,11.4641,0.859428,0.123247
-10.9184,0.889587,0.431702,1,1,0,10.9185,0.886443,0.101977
-10.5328,1,0.550246,1,1,0,10.729,0.853723,0.127611
-10.5328,0.00403465,0.914876,1,1,0,10.6673,0.853723,0.127611
-10.5145,1,0.135301,3,7,0,10.5322,0.847472,0.132342
-10.5142,0.997866,0.225516,1,3,0,10.5471,0.837281,0.139947
-10.5117,1,0.371311,1,1,0,10.5137,0.839151,0.138562
-10.5299,0.985374,0.61026,1,1,0,10.535,0.831224,0.144404
-10.5299,0.000560835,0.962472,1,1,0,10.9677,0.831224,0.144404
-10.5614,0.999462,0.150373,3,7,0,10.5614,0.824203,0.149513
-10.5387,1,0.245798,2,3,0,10.5583,0.828917,0.146089
-10.5117,0.911738,0.399679,2,3,0,10.9069,0.839129,0.138578
-10.5117,0.506211,0.527318,1,3,0,11.2556,0.839129,0.138578
-10.813,0.925849,0.27478,1,3,0,11.1414,0.880934,0.106397
-10.8819,0.984693,0.373822,1,1,0,10.9399,0.884649,0.103422
-12.7829,0.435434,0.578416,1,1,0,12.9169,0.931195,0.0643755
-12.4455,1,0.260103,1,1,0,12.8245,0.926115,0.068802
-12.5382,0.983494,0.415041,1,1,0,12.9626,0.927578,0.067531
-10.6031,1,0.634896,1,1,0,11.5321,0.864685,0.119187
-10.6031,1.38481e-28,1.00199,1,1,0,10.9946,0.864685,0.119187
-10.5385,0.998752,0.176514,1,3,0,10.64,0.855014,0.126627
-11.5125,0.90183,0.278363,2,3,0,11.5171,0.907082,0.0850186
-10.5365,0.921614,0.354095,1,3,0,11.8073,0.829454,0.145698
-10.5752,0.845591,0.46868,2,3,0,10.8537,0.861215,0.121871
-10.6364,0.985036,0.525586,2,3,0,10.6389,0.868144,0.116495
-10.6364,0.121847,0.791735,1,1,0,10.6961,0.868144,0.116495
-10.9747,0.97104,0.191374,1,3,0,11.1927,0.889028,0.0998876
-10.5395,0.984665,0.280165,1,3,0,11.0854,0.855233,0.12646
-11.3426,0.835972,0.420243,1,3,0,11.3746,0.902297,0.0890065
-11.5698,0.937625,0.460596,2,3,0,11.57,0.748368,0.201043
-11.5698,0.709104,0.622378,1,3,0,11.9523,0.748368,0.201043
-10.5945,0.920564,0.52368,2,3,0,11.0477,0.818831,0.153381
-10.5945,1.16917e-22,0.680642,1,1,0,13.6007,0.818831,0.153381
-10.7463,0.990361,0.135179,2,7,0,11.0167,0.876814,0.109676
-11.7615,0.901431,0.203226,1,3,0,12.6433,0.913149,0.0799109
-11.6786,1,0.254285,1,1,0,11.8366,0.911234,0.0815289
-11.3265,1,0.386886,1,1,0,11.7173,0.901809,0.0894117
-10.5237,1,0.586161,1,1,0,10.8137,0.833152,0.142991
-10.5237,0.00482898,0.884425,1,1,0,11.5311,0.833152,0.142991
-10.5106,0.999997,0.185634,2,7,0,10.5237,0.840447,0.137598
-10.5388,0.985939,0.280494,2,3,0,10.6355,0.828898,0.146103
-10.746,0.952653,0.410668,2,3,0,10.801,0.876791,0.109693
-10.746,0.0117403,0.561413,1,1,0,11.9873,0.876791,0.109693
-11.0622,0.996101,0.123209,3,7,0,11.0685,0.892678,0.09692
-10.6578,0.985375,0.183649,2,5,0,11.7479,0.810745,0.159137
-10.7026,0.901421,0.26715,1,3,0,11.5348,0.873725,0.112118
-11.2925,0.917905,0.32977,1,3,0,11.3143,0.900756,0.0902838
-12.5495,0.760777,0.419235,1,1,0,12.5746,0.927753,0.0673792
-10.7128,1,0.394705,1,3,0,12.2253,0.874478,0.111524
-10.7128,0.20538,0.58418,1,1,0,11.1851,0.874478,0.111524
-12.1049,0.952671,0.193317,2,7,0,12.1954,0.920199,0.0739037
-11.625,0.989061,0.261739,2,3,0,12.5028,0.909945,0.0826152
-10.643,1,0.378241,1,3,0,11.4402,0.868772,0.116005
-10.6291,1,0.556029,1,1,0,10.7056,0.867442,0.117043
-10.6291,0.0355544,0.814675,1,1,0,10.7145,0.867442,0.117043
-11.0009,0.870187,0.201552,1,3,0,13.3255,0.781666,0.179207
-11.1447,0.996839,0.232986,3,7,0,11.1747,0.772269,0.18549
-11.7427,0.807916,0.338957,1,1,0,11.872,0.739701,0.206538
-11.7427,0.000131431,2.78939,1,1,0,12.0214,0.739701,0.206538
-11.7427,4.64494e-32,6.51497,1,3,1,12.3086,0.739701,0.206538
-10.8702,1,0.642417,3,7,0,11.7589,0.791214,0.172724
-10.5106,0.953747,0.669106,1,3,0,11.526,0.844235,0.134772
-10.7987,0.975651,0.792996,2,5,0,10.8064,0.880102,0.107062
-12.2626,0.820532,1.1467,1,3,0,12.3854,0.923051,0.0714512
-13.5783,0.857383,1.12035,1,1,0,13.59,0.94101,0.0557038
-11.8163,1,1.2699,1,1,0,13.2992,0.914365,0.0788804
-11.8163,0.00670493,2.31093,1,1,0,12.1013,0.914365,0.0788804
-11.923,0.999802,0.18646,3,7,0,11.9409,0.916626,0.0769577
-13.0407,0.995724,0.348312,4,15,0,13.1659,0.934667,0.0613261
-12.2631,0.982687,0.649564,2,3,0,13.8972,0.923059,0.0714439
-12.2799,0.999226,1.16786,2,3,0,12.5831,0.923351,0.0711924
-12.2799,0.529354,2.21185,1,1,0,12.4476,0.923351,0.0711924
-10.5105,0.98067,0.964507,1,3,0,13.4512,0.844192,0.134804
-11.2279,0.618305,1.72437,1,1,0,11.2635,0.767208,0.188833
-10.9567,0.724503,1.0051,1,3,0,12.9844,0.888226,0.100537
-11.0512,0.997049,0.817995,2,3,0,11.0691,0.892241,0.0972769
