# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1608633694
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./vaccine_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,VE,theta
-10.7627,1,0.5,1,1,0,11.9189,0.800198,0.166529
-10.7627,0,14.3855,0,1,1,10.8681,0.800198,0.166529
-10.7627,3.19524e-35,2.43117,1,2,1,10.7746,0.800198,0.166529
-10.8373,0.814832,0.239791,1,3,0,12.7372,0.882297,0.105308
-12.271,0.89962,0.191085,2,7,0,13.4368,0.715481,0.221498
-10.7257,1,0.216497,2,3,0,12.1958,0.803653,0.164122
-10.5987,1,0.360158,1,1,0,10.6969,0.818216,0.153822
-11.447,0.518831,0.635202,1,1,0,11.4487,0.90531,0.0864992
-11.2501,1,0.255623,1,1,0,11.4495,0.899402,0.0914029
-10.6415,0.973479,0.47227,2,3,0,11.2732,0.812639,0.157796
-10.6415,0.455247,0.813954,1,3,0,10.6449,0.812639,0.157796
-10.6816,0.992568,0.274728,1,1,0,10.6944,0.808126,0.160985
-10.9764,0.791594,0.509297,2,3,0,11.19,0.889104,0.0998253
-11.4429,0.845071,0.502622,1,1,0,11.5914,0.905195,0.0865954
-11.6182,0.75151,0.588038,1,3,0,11.6389,0.745894,0.202619
-11.5633,0.974558,0.51513,2,3,0,11.8017,0.908402,0.0839117
-11.5633,1.12299e-09,0.899704,1,1,0,11.5819,0.908402,0.0839117
-11.5608,1,0.0795644,1,1,0,11.5723,0.908336,0.0839672
-10.5104,0.997104,0.151435,2,7,0,11.6453,0.843898,0.135024
-10.5724,0.982744,0.283244,2,3,0,10.6548,0.860821,0.122175
-10.588,0.992721,0.502928,1,1,0,10.6182,0.862887,0.12058
-10.588,3.2778e-48,0.911618,1,1,0,11.5446,0.862887,0.12058
-10.5227,0.999492,0.0891445,2,7,0,10.6611,0.850902,0.129752
-10.9047,0.926817,0.165714,1,3,0,12.6614,0.788576,0.174525
-10.9047,0.998492,0.247328,1,1,0,10.9698,0.788576,0.174525
-10.9047,0.148643,0.450082,1,1,0,12.324,0.788576,0.174525
-10.9476,0.998733,0.0730178,4,15,0,11.2307,0.78542,0.17667
-11.0333,0.995764,0.133043,1,1,0,11.0334,0.779463,0.180689
-11.2619,0.987647,0.238023,2,3,0,11.2851,0.765202,0.190151
-10.7111,0.959288,0.412385,1,3,0,11.387,0.874359,0.111617
-10.5718,1,0.655076,1,1,0,10.5886,0.822378,0.150831
-10.5718,4.10695e-50,1.1534,1,1,0,12.0743,0.822378,0.150831
-10.8993,0.985132,0.13607,2,7,0,11.1942,0.885515,0.102725
-10.8342,1,0.231059,1,1,0,10.9039,0.882129,0.105443
-11.6233,0.826188,0.404648,1,1,0,11.6265,0.909903,0.0826503
-10.9422,1,0.444685,2,3,0,11.4826,0.887562,0.101074
-10.5586,1,0.76784,1,1,0,10.7586,0.858741,0.123775
-10.5586,0.000976693,1.31452,1,1,0,11.372,0.858741,0.123775
-10.5968,0.991094,0.171491,3,7,0,10.9077,0.863961,0.119749
-10.6176,0.999015,0.287878,2,7,0,10.6185,0.815631,0.155668
-10.5199,1,0.489152,1,1,0,10.5719,0.834567,0.14195
-10.9202,0.607481,0.826579,1,1,0,11.0591,0.88653,0.101907
-11.0484,0.969633,0.520989,2,3,0,11.23,0.892128,0.0973687
-11.0484,0.000169743,0.809913,1,1,0,11.1612,0.892128,0.0973687
-10.5193,0.998427,0.11558,3,9,0,11.2032,0.849699,0.130662
-11.5283,0.864866,0.193564,2,5,0,13.8724,0.907497,0.0846709
-11.2448,0.964309,0.232842,2,3,0,12.3999,0.89923,0.0915446
-11.8067,0.970315,0.354828,2,3,0,11.836,0.914154,0.0790592
-11.8067,0.238511,0.545315,1,1,0,13.0889,0.914154,0.0790592
-13.5319,0.971317,0.146744,2,7,0,13.6517,0.940503,0.0561557
-11.7052,0.965909,0.226037,2,5,0,13.6763,0.741543,0.205376
-10.9843,1,0.341791,1,1,0,11.526,0.782818,0.17843
-10.5133,1,0.556396,1,1,0,10.6711,0.846765,0.132874
-10.5133,2.49787e-08,0.899966,1,1,0,11.0285,0.846765,0.132874
-10.5121,0.999923,0.145563,3,15,0,10.5174,0.838812,0.138813
-10.524,0.995473,0.235922,1,3,0,10.565,0.851327,0.12943
-10.6059,0.988331,0.37621,2,3,0,10.6208,0.817213,0.154539
-10.6059,0.534258,0.586879,1,3,0,10.9803,0.817213,0.154539
-10.6062,0.999905,0.329269,1,1,0,10.6299,0.817162,0.154576
-10.5102,1,0.52455,1,1,0,10.5508,0.841152,0.137074
-10.5102,7.66728e-06,0.831106,1,1,0,11.1277,0.841152,0.137074
-10.5364,0.996731,0.145097,2,5,0,10.6327,0.829489,0.145672
-10.8262,0.977103,0.2287,2,3,0,10.8334,0.794732,0.170309
-10.8262,0.839876,0.343559,1,3,0,11.5742,0.794732,0.170309
-10.51,1,0.38178,1,3,0,10.7484,0.842201,0.136292
-10.6091,0.932584,0.597824,1,1,0,10.6143,0.865361,0.118663
-10.6091,0.103672,0.806346,1,1,0,10.6726,0.865361,0.118663
-10.7805,0.987676,0.18605,1,3,0,10.8571,0.879005,0.107935
-10.5248,0.991762,0.282783,1,3,0,10.8384,0.851571,0.129245
-10.5587,0.94276,0.431509,2,3,0,10.7206,0.85876,0.12376
-10.664,0.935001,0.591564,1,1,0,10.7088,0.870643,0.114541
-10.664,0.00682798,0.795264,1,1,0,13.8333,0.870643,0.114541
-10.5307,0.99977,0.156095,2,7,0,10.677,0.853209,0.128002
-10.58,0.97802,0.24067,1,3,0,10.8168,0.821028,0.151803
-10.6173,0.920361,0.353285,2,3,0,10.9936,0.815678,0.155635
-10.6424,0.996604,0.45926,2,3,0,10.649,0.868714,0.11605
-10.5794,1,0.694923,1,1,0,10.6736,0.861779,0.121436
-10.5794,3.44333e-39,1.05428,1,1,0,10.9927,0.861779,0.121436
-11.8755,0.822594,0.214007,1,3,0,13.6418,0.915636,0.0778004
-11.7457,1,0.228158,1,1,0,11.9155,0.912792,0.0802124
-10.7844,0.818226,0.345842,2,3,0,12.8348,0.798277,0.167861
-10.51,0.492179,0.364407,2,3,0,13.2785,0.842107,0.136363
-10.5101,0.999969,0.201975,1,3,0,10.5105,0.843185,0.135558
-10.5638,0.988184,0.304425,1,3,0,10.5885,0.859549,0.123154
-10.818,0.913682,0.446655,1,1,0,10.8221,0.881217,0.106172
-12.5807,0.268615,0.565044,1,1,0,12.6684,0.702416,0.229337
-11.1618,1,0.205105,2,5,0,12.5502,0.896402,0.0938731
-10.7092,0.899811,0.306717,2,3,0,12.4305,0.874216,0.11173
-10.5109,0.999647,0.377209,2,3,0,10.7035,0.840046,0.137897
-10.5109,0.108913,0.560047,2,3,0,11.5964,0.840046,0.137897
-11.4014,0.88279,0.152874,1,3,0,14.2544,0.757315,0.195291
-10.6571,0.980025,0.182083,1,3,0,11.8106,0.81082,0.159084
-10.8548,0.9543,0.259973,3,7,0,11.2033,0.883243,0.10455
-10.8548,0.875176,0.352608,1,3,0,11.5468,0.883243,0.10455
-12.3659,0.852731,0.411547,1,3,0,12.3757,0.92481,0.0699319
-11.3321,1,0.460099,2,3,0,11.9457,0.761172,0.192785
-11.0755,1,0.674662,1,1,0,11.1111,0.893198,0.0964964
-11.0755,1.8713e-69,0.986059,1,1,0,11.3315,0.893198,0.0964964
-10.846,0.999056,0.2297,3,7,0,11.1564,0.882768,0.104931
-10.5489,0.955595,0.335551,2,3,0,11.2847,0.826642,0.147745
-10.5672,0.949108,3.61205,1,1,0,10.7164,0.823162,0.150265
-10.5672,0,47.3689,0,1,1,10.9503,0.823162,0.150265
-10.5672,1.42807e-30,7.78884,1,1,0,10.7934,0.823162,0.150265
-10.5508,1,0.756296,3,7,0,10.5684,0.857419,0.124788
-10.5672,0.979103,1.01297,2,7,0,10.7082,0.823169,0.150261
-11.4502,0.615929,1.47905,1,1,0,11.5021,0.754661,0.197006
-11.3305,1,0.772278,1,1,0,11.5209,0.761263,0.192726
-10.5442,1,1.35032,1,1,0,10.9902,0.827641,0.147019
-10.698,0.810005,2.45261,1,1,0,10.8552,0.806404,0.162196
-10.5916,1,2.49862,1,1,0,10.7476,0.819246,0.153084
-10.5916,0,4.68557,0,1,1,13.383,0.819246,0.153084
-11.7292,0.903741,0.375255,2,7,0,15.669,0.912414,0.0805321
-11.7796,0.998371,0.527448,1,1,0,11.8071,0.913555,0.0795665
-10.5231,0.94874,1.00092,2,3,0,12.5965,0.851032,0.129654
-10.5247,0.999806,1.62319,2,3,0,10.5286,0.832804,0.143246
-10.5247,3.74421e-12,3.07415,1,1,0,11.3783,0.832804,0.143246
-10.8156,0.997223,0.26675,3,15,0,10.8573,0.795614,0.169701
-10.7586,1,0.505216,1,1,0,10.8125,0.800571,0.16627
-10.8017,0.945024,0.957382,2,3,0,11.2995,0.796782,0.168895
-10.8017,0.075441,1.52431,2,3,0,12.9557,0.796782,0.168895
-10.6234,0.998819,0.180387,2,7,0,11.0585,0.814883,0.156201
-11.0451,0.993537,0.339412,3,11,0,11.0889,0.891994,0.0974777
-10.7599,0.994719,0.622672,2,5,0,11.2039,0.800451,0.166353
-11.7156,0.716627,1.13517,1,1,0,11.731,0.741032,0.205699
-10.6415,0.941744,0.919486,2,3,0,12.197,0.812648,0.157789
-10.7922,0.92933,1.42246,1,1,0,10.8495,0.797599,0.16833
-10.7922,0.000810808,2.10923,2,3,0,14.0327,0.797599,0.16833
-10.7791,0.999968,0.228948,2,3,0,10.8,0.79874,0.167541
-11.0974,0.995396,0.417033,4,15,0,11.1116,0.894042,0.0958066
-11.2677,0.990071,0.742651,2,5,0,11.4215,0.764868,0.19037
-11.2677,0.0541728,1.29094,1,1,0,13.7491,0.764868,0.19037
-11.569,0.994524,0.175037,2,7,0,12.198,0.748413,0.201014
-11.5664,1,0.308784,2,3,0,11.5946,0.748546,0.200929
-10.5436,1,0.547657,2,7,0,11.523,0.856063,0.125826
-10.5282,1,0.962347,1,1,0,10.5413,0.852526,0.12852
-10.7501,0.933168,1.67582,1,3,0,10.7504,0.801346,0.165731
-11.6254,0.36628,2.42988,2,3,0,11.9265,0.74553,0.202851
-10.6241,1,0.807499,2,3,0,11.6561,0.814799,0.156261
-10.6241,0.0190532,1.38973,1,1,0,13.305,0.814799,0.156261
-11.6092,0.989162,0.194614,2,7,0,12.5772,0.746351,0.202328
-10.7419,1,0.326628,4,15,0,11.6156,0.87652,0.109908
-10.7117,0.99935,0.558908,2,3,0,10.7791,0.874399,0.111586
-11.0806,0.959786,0.947182,2,3,0,11.2395,0.893398,0.0963328
-10.51,0.962909,1.44419,1,3,0,10.8962,0.842208,0.136287
-10.5101,0.999906,2.2053,1,1,0,10.5101,0.843143,0.135589
-10.5101,0.0472175,3.66314,1,1,0,10.7053,0.843143,0.135589
-10.5979,0.983676,0.601046,1,3,0,10.8258,0.81833,0.15374
-10.6144,0.999384,0.961849,3,7,0,10.6144,0.865931,0.118219
-10.6275,0.998119,1.58763,2,3,0,10.6742,0.867283,0.117167
-10.5559,1,2.59473,1,1,0,10.6448,0.858296,0.124116
-10.6863,0.964075,1.0578,3,7,0,10.9878,0.872469,0.113107
-10.6863,0,14.2548,0,1,1,11.215,0.872469,0.113107
-10.5631,1,2.3629,1,3,0,10.5899,0.823897,0.149734
-11.2301,0.424981,3.31074,1,1,0,11.4455,0.898743,0.0919465
-10.5148,0.947729,1.04268,1,3,0,12.0145,0.83692,0.140214
-10.6618,0.894764,1.46441,2,3,0,11.0247,0.810288,0.159461
-11.4514,0.653781,1.8557,2,3,0,11.9923,0.90543,0.0863991
-10.8188,0.862035,1.14369,2,7,0,13.3528,0.795347,0.169885
-11.0341,0.929859,1.36035,1,1,0,11.1003,0.779407,0.180726
-11.0341,0.0128484,2.02974,2,3,0,13.9724,0.779407,0.180726
-10.553,0.996434,0.168036,3,15,0,12.3909,0.825804,0.148353
-10.6031,0.998851,0.313987,3,11,0,10.729,0.864689,0.119184
-10.9907,0.97468,0.593569,2,7,0,11.6403,0.889728,0.09932
-10.8475,1,1.03956,2,3,0,10.9815,0.882853,0.104863
-10.7355,1,1.96432,2,3,0,10.8756,0.876084,0.110254
-10.7355,0.0767372,3.68931,1,3,0,10.7502,0.876084,0.110254
-10.5117,0.998297,0.401444,2,7,0,10.9326,0.839112,0.13859
-10.568,0.991639,0.753634,1,3,0,10.6443,0.823023,0.150366
-10.9816,0.822105,1.37492,2,3,0,11.6899,0.889332,0.0996408
-11.7881,0.836752,1.49365,1,3,0,12.4978,0.737495,0.207924
-10.5193,1,1.69365,1,3,0,11.2277,0.84969,0.130669
-10.5193,0.424606,3.10652,1,1,0,10.5741,0.84969,0.130669
-10.5177,0.996759,1.04434,3,7,0,10.5581,0.849046,0.131155
-10.7806,0.889564,1.887,1,1,0,10.7809,0.879007,0.107934
-10.5517,1,2.47887,1,1,0,10.5943,0.826071,0.14816
-10.5711,0.319864,4.4443,2,3,0,10.638,0.860633,0.122319
-10.5103,0.996523,1.149,1,3,0,10.6042,0.841019,0.137173
-10.5828,0.960509,2.03343,1,1,0,10.5828,0.862231,0.121087
-10.5828,0.000811613,3.22416,1,1,0,10.7967,0.862231,0.121087
-10.6497,0.999446,0.35829,3,11,0,10.6743,0.81167,0.158483
-11.3241,0.934186,0.636355,1,3,0,11.9175,0.761624,0.192491
-10.5168,0.932746,0.9377,1,3,0,12.2023,0.848639,0.131463
-10.5185,0.956198,1.36766,2,3,0,10.8161,0.849368,0.130912
-10.5568,0.978011,2.11075,1,1,0,10.5639,0.858435,0.124009
-10.5568,0.0377863,3.42736,1,1,0,11.5581,0.858435,0.124009
-10.891,0.989288,0.466082,2,5,0,11.0875,0.885103,0.103056
-10.8074,1,0.782666,1,1,0,10.8864,0.880609,0.106657
-10.6803,0.956219,1.34028,1,3,0,11.2412,0.808266,0.160887
-10.5177,1,2.03402,1,1,0,10.5926,0.835502,0.141261
-10.5177,0.0885215,3.42927,1,1,0,10.8197,0.835502,0.141261
-10.5192,0.999926,0.571722,1,1,0,10.5192,0.834825,0.14176
-10.7165,0.941424,0.965212,1,3,0,11.1164,0.874751,0.111308
-10.6714,1,1.3975,1,1,0,10.7345,0.871264,0.114053
-10.8075,0.92062,2.32628,1,1,0,10.9283,0.880617,0.106651
-10.8075,0.0262065,3.16283,1,1,0,13.1836,0.880617,0.106651
-10.6479,0.999829,0.483102,4,15,0,10.8296,0.811883,0.158332
-10.6057,1,0.801019,1,1,0,10.6439,0.817241,0.154519
