# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1608633694
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./vaccine_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,VE,theta
-10.6051,0.995541,0.178958,1,3,0,10.9651,0.864917,0.119008
-11.1538,0.934118,0.269188,3,7,0,11.5265,0.771699,0.185867
-11.7739,0.465617,0.357147,2,3,0,13.8218,0.913427,0.079675
-11.6626,1,0.187885,1,1,0,11.7906,0.910855,0.0818488
-10.5567,0.972432,0.283302,2,3,0,12.2206,0.858421,0.12402
-10.6419,0.991578,0.403226,2,3,0,10.6467,0.868668,0.116086
-11.2894,0.69607,0.593647,1,1,0,11.3985,0.90066,0.0903629
-11.1952,1,0.492019,1,1,0,11.5128,0.897568,0.0929145
-11.1952,0.291588,0.732835,1,1,0,11.2279,0.897568,0.0929145
-11.1356,1,0.28018,1,1,0,11.2483,0.895462,0.0946439
-10.5554,1,0.416824,2,3,0,11.064,0.825336,0.148693
-10.5554,0.531209,0.617878,1,1,0,10.8062,0.825336,0.148693
-10.5876,0.989435,0.376471,1,1,0,10.5976,0.819848,0.152652
-10.5223,1,0.545375,1,3,0,10.5472,0.850759,0.129861
-10.5223,0.297818,0.803207,1,1,0,10.872,0.850759,0.129861
-10.5223,0.874538,0.318351,1,3,0,11.272,0.850759,0.129861
-10.5584,0.986597,0.371018,2,3,0,10.6161,0.858707,0.123801
-10.5584,5.52404e-07,0.531209,1,1,0,13.5778,0.858707,0.123801
-10.5531,1,0.123317,1,1,0,10.5583,0.857814,0.124486
-10.6174,0.988762,0.181221,3,7,0,11.0087,0.866249,0.117972
-10.7104,0.940109,0.260058,1,3,0,11.4214,0.805158,0.163069
-10.9202,0.805711,2.72452,1,1,0,10.9271,0.886531,0.101906
-10.9202,0,27.5296,0,1,1,11.1357,0.886531,0.101906
-10.9202,1.66978e-34,4.19008,1,1,0,10.933,0.886531,0.101906
-10.9057,1,0.389296,1,1,0,10.922,0.88583,0.102471
-10.5239,0.991063,0.507223,2,7,0,11.574,0.833073,0.143048
-11.3978,0.936881,0.753936,2,7,0,11.7575,0.903919,0.0876589
-11.6417,0.975913,1.04068,1,1,0,11.6761,0.910352,0.0822728
-10.913,1,1.7045,2,3,0,11.4763,0.886185,0.102185
-10.913,0.53589,3.11135,1,1,0,11.6776,0.886185,0.102185
-10.913,0.913637,1.33714,1,1,0,11.3136,0.886185,0.102185
-10.7334,1,1.90733,1,1,0,10.93,0.875944,0.110365
-10.7334,2.69642e-83,3.59828,1,1,0,11.4396,0.875944,0.110365
-10.5673,0.994865,0.291476,3,11,0,11.8278,0.860078,0.122747
-10.9679,0.987381,0.547833,2,5,0,11.1332,0.783967,0.177654
-10.9679,0.864216,1.00393,1,1,0,11.5152,0.783967,0.177654
-10.942,1,1.2507,2,3,0,11.0762,0.785823,0.176397
-11.0765,0.382273,2.36419,2,3,0,11.5898,0.776605,0.182602
-12.0071,0.943772,0.672149,2,3,0,12.1333,0.727219,0.214319
-12.0061,1,1.06945,1,1,0,12.367,0.727261,0.214293
-10.7506,0.776677,2.00241,2,3,0,11.4332,0.801305,0.165759
-10.7419,0.98804,1.90842,2,3,0,10.8406,0.876518,0.10991
-10.7419,0.370971,3.40227,1,1,0,11.4153,0.876518,0.10991
-11.1057,0.976293,0.984448,3,7,0,11.2096,0.894353,0.0955518
-12.0272,0.87494,1.69044,2,3,0,12.3888,0.918713,0.0751761
-10.5579,0.547761,2.1483,2,3,0,11.139,0.824843,0.14905
-10.5173,0.89403,1.06789,2,3,0,11.5466,0.835674,0.141134
-12.6558,0.577774,1.43285,1,3,0,12.6709,0.699347,0.231155
-12.676,0.99659,0.787025,1,1,0,12.9692,0.698527,0.23164
-13.36,0.681378,1.40208,1,1,0,14.3612,0.67198,0.246999
-13.36,0.599928,1.0359,1,1,0,14.8826,0.67198,0.246999
-12.5781,1,0.615446,1,1,0,13.2848,0.702524,0.229273
-12.2541,1,1.0932,2,7,0,12.4716,0.922902,0.0715796
-10.5926,1,1.92359,2,3,0,11.6268,0.86346,0.120137
-10.5926,0.0230368,3.35372,1,1,0,11.9106,0.86346,0.120137
-12.7163,0.957242,0.435006,3,11,0,13.4717,0.930245,0.0652065
-12.7662,0.998378,0.679725,1,1,0,12.8397,0.93096,0.0645815
-13.8985,0.967781,1.17405,2,3,0,13.9171,0.944322,0.0527412
-11.9262,1,1.85744,1,1,0,13.5776,0.916691,0.0769022
-11.9262,0,3.16943,0,1,1,14.313,0.916691,0.0769022
-11.9845,0.999151,0.419255,1,1,0,11.9897,0.917872,0.075895
-11.7852,1,0.71599,1,1,0,11.9846,0.913681,0.0794605
-10.5246,1,1.21549,1,3,0,12.0651,0.851507,0.129294
-10.5134,0.999556,2.04726,1,3,0,10.5181,0.837777,0.13958
-10.5134,1.41897e-07,3.41811,1,1,0,11.1296,0.837777,0.13958
-10.5433,0.999374,0.486055,3,7,0,10.546,0.827856,0.146862
-10.5547,0.998783,0.813382,1,1,0,10.5552,0.82547,0.148596
-12.4486,0.590293,1.34924,1,3,0,13.6821,0.926164,0.0687588
-10.708,0.992471,0.831852,2,5,0,12.2997,0.80539,0.162907
-10.8147,0.965053,1.3493,1,1,0,10.8608,0.795689,0.169649
-10.8147,0.370551,2.03717,1,3,0,11.4436,0.795689,0.169649
-10.8147,1.69696e-12,3.01309,1,1,0,11.834,0.795689,0.169649
-10.8147,1.06869e-65,7.03577,1,1,0,10.8713,0.795689,0.169649
-10.8785,0.984325,0.693722,1,1,0,10.9332,0.790568,0.173165
-11.0007,0.969372,0.692957,1,1,0,11.0601,0.781678,0.179199
-11.3585,0.862364,0.856146,1,1,0,11.5106,0.759687,0.193752
-11.3585,0.502347,0.883138,1,1,0,12.3766,0.759687,0.193752
-11.3583,1,0.322749,1,1,0,11.4047,0.759702,0.193742
-14.7455,0.690733,0.557889,2,5,0,14.8367,0.951815,0.0459703
-12.6303,0.981179,0.380794,1,3,0,16.3318,0.92898,0.0663104
-10.7808,0.98232,0.660677,2,3,0,13.0377,0.879023,0.107921
-12.4122,0.403613,1.16971,1,1,0,12.4136,0.70944,0.225143
-12.3495,1,0.335671,1,1,0,12.5054,0.712106,0.223538
-11.1241,1,0.638744,1,1,0,12.0491,0.773558,0.184633
-10.5912,1,1.21633,1,1,0,10.8017,0.863288,0.120269
-10.5912,0.00122396,2.30959,1,1,0,10.6161,0.863288,0.120269
-10.595,0.999948,0.197572,1,1,0,10.595,0.863741,0.119919
-10.5127,0.989197,0.378477,3,7,0,11.0454,0.846349,0.133187
-10.5166,0.999261,0.69672,1,1,0,10.5166,0.848551,0.131529
-10.6129,0.933429,1.3122,1,1,0,10.6147,0.816255,0.155223
-10.6129,8.92541e-09,2.00965,1,1,0,11.8526,0.816255,0.155223
-11.0392,0.974135,0.189206,2,7,0,13.2144,0.779065,0.180956
-10.5653,0.997948,0.330317,3,15,0,11.195,0.859781,0.122975
-10.9568,0.920675,0.613076,1,3,0,11.6653,0.784757,0.177119
-11.254,0.874993,0.899987,1,1,0,11.418,0.765664,0.189848
-10.9885,1,1.15109,1,1,0,11.4273,0.782523,0.178629
-10.9885,0.0281198,2.09597,1,3,1,10.999,0.782523,0.178629
-10.5847,0.964727,0.240789,4,15,0,13.702,0.820295,0.15233
-10.51,0.992306,0.39846,2,7,0,10.7876,0.842201,0.136293
-12.7488,0.545565,0.706079,1,3,0,14.5711,0.930711,0.0647989
-13.0054,0.99376,0.360894,1,1,0,13.008,0.934211,0.0617281
-11.0986,0.955791,0.636564,2,7,0,13.2435,0.775183,0.183552
-11.3286,0.875935,1.00333,1,1,0,11.6418,0.761368,0.192658
-10.6803,1,1.26585,1,1,0,11.0778,0.808256,0.160894
-10.7646,0.298695,2.21628,2,3,0,10.8721,0.878007,0.108729
-10.6407,0.997176,0.599365,2,3,0,10.8262,0.868553,0.116176
-10.6407,0.0480461,1.03842,1,1,0,13.1012,0.868553,0.116176
